epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2372,1.424,2.44486,1.58213,0.24683,0.17106,0.12354,0.04573,2.37148,2.96421,2.31851,0.000555067,0.000555067,0.000555067
2,154.277,1.498,1.99738,1.63311,0.13677,0.20732,0.10427,0.0407,2.34782,3.20851,2.22504,0.00105575,0.00105575,0.00105575
3,225.8,1.48424,1.88555,1.62802,0.37052,0.29727,0.23129,0.1056,2.16797,2.57522,2.13204,0.00150143,0.00150143,0.00150143
4,301.017,1.4314,1.75583,1.59149,0.31608,0.31647,0.24873,0.09439,2.18899,2.47878,2.09816,0.00141945,0.00141945,0.00141945
5,377.403,1.36131,1.64883,1.52866,0.55565,0.38595,0.35142,0.1535,2.08718,2.36308,2.0584,0.00133693,0.00133693,0.00133693
6,453.955,1.32078,1.51842,1.50494,0.58618,0.43535,0.44109,0.16698,2.09078,2.05386,2.00979,0.00125442,0.00125442,0.00125442
7,530.503,1.2878,1.46995,1.46718,0.56311,0.4163,0.45703,0.18574,1.97597,1.98033,1.86624,0.0011719,0.0011719,0.0011719
8,606.993,1.24377,1.3648,1.43477,0.58045,0.46001,0.47186,0.20532,1.94885,1.8866,1.87293,0.00108938,0.00108938,0.00108938
9,683.619,1.22355,1.29824,1.417,0.60061,0.47892,0.53343,0.25417,1.84449,1.73748,1.77177,0.00100687,0.00100687,0.00100687
10,760.25,1.19719,1.25168,1.395,0.5773,0.50318,0.5052,0.24761,1.92892,1.72141,1.84489,0.000924352,0.000924352,0.000924352
11,841.501,1.24348,1.16689,1.43821,0.66838,0.53694,0.59116,0.29012,1.79279,1.58895,1.71957,0.000841835,0.000841835,0.000841835
12,954.228,1.20749,1.08347,1.40938,0.68737,0.53742,0.60628,0.28897,1.80569,1.63576,1.75311,0.000759318,0.000759318,0.000759318
13,1072.73,1.17484,1.03475,1.38026,0.6804,0.55157,0.62774,0.31177,1.76113,1.49049,1.69997,0.000676802,0.000676802,0.000676802
14,1190.83,1.1437,0.97628,1.35211,0.69993,0.59702,0.61472,0.31464,1.76043,1.47662,1.68139,0.000594286,0.000594286,0.000594286
15,1308.31,1.12119,0.92507,1.33014,0.72781,0.60675,0.66239,0.34963,1.73843,1.38355,1.65105,0.000511769,0.000511769,0.000511769
16,1426.89,1.0875,0.89193,1.30594,0.71098,0.68232,0.69037,0.35102,1.75242,1.3654,1.68176,0.000429253,0.000429253,0.000429253
17,1550.6,1.06233,0.8543,1.28667,0.79186,0.62156,0.6855,0.3651,1.69657,1.34808,1.62379,0.000346736,0.000346736,0.000346736
18,1670.82,1.03619,0.80299,1.26238,0.72375,0.67104,0.68863,0.37141,1.66924,1.31571,1.59503,0.00026422,0.00026422,0.00026422
19,1791.23,1.01599,0.77612,1.23975,0.80663,0.62988,0.72618,0.3838,1.68183,1.27264,1.60017,0.000181703,0.000181703,0.000181703
20,1911.36,0.99006,0.73949,1.22934,0.73549,0.69762,0.72995,0.39497,1.66828,1.23093,1.61006,9.91865e-05,9.91865e-05,9.91865e-05
