epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9696,1.33609,2.77647,1.49688,0.35582,0.28829,0.24977,0.11309,2.00858,2.95928,1.90284,0.00332974,0.00332974,0.00332974
2,181.921,1.31651,2.06355,1.45805,0.26517,0.24665,0.18444,0.07556,2.13155,2.88794,2.07682,0.00661909,0.00661909,0.00661909
3,268.032,1.42759,1.9578,1.55168,0.20243,0.22191,0.12777,0.04907,2.26977,2.83926,2.31626,0.00986445,0.00986445,0.00986445
4,353.825,1.51296,1.95281,1.6324,0.20801,0.16049,0.12417,0.04708,2.31434,2.92084,2.39434,0.009802,0.009802,0.009802
5,438.662,1.45806,1.82974,1.58774,0.33396,0.32409,0.27448,0.11822,2.10854,2.58117,2.04503,0.009736,0.009736,0.009736
6,523.777,1.41276,1.70626,1.56117,0.33732,0.28425,0.24692,0.11094,2.15035,2.40116,2.07181,0.00967,0.00967,0.00967
7,608.619,1.38273,1.63729,1.52201,0.3889,0.40479,0.34197,0.14213,2.07193,2.10449,1.94625,0.009604,0.009604,0.009604
8,685.643,1.34568,1.55847,1.49954,0.52298,0.38727,0.38356,0.17345,2.07002,2.04213,1.99401,0.009538,0.009538,0.009538
9,755.833,1.32259,1.47194,1.47813,0.47316,0.40558,0.42356,0.1854,1.96807,1.93786,1.87102,0.009472,0.009472,0.009472
10,826.402,1.30709,1.43653,1.46543,0.57625,0.44173,0.43878,0.19145,2.04293,1.9917,1.98393,0.009406,0.009406,0.009406
11,898.128,1.2992,1.41845,1.46285,0.62969,0.48672,0.51105,0.22676,1.98502,1.8761,1.90635,0.00934,0.00934,0.00934
12,974.717,1.2621,1.34133,1.42488,0.62868,0.46128,0.51191,0.22325,1.99584,1.92544,1.91595,0.009274,0.009274,0.009274
13,1051.09,1.24833,1.31906,1.4197,0.65096,0.48585,0.51473,0.25607,1.83646,1.78228,1.75388,0.009208,0.009208,0.009208
14,1127.6,1.22801,1.28632,1.3966,0.60113,0.49602,0.5268,0.23761,1.91656,1.74827,1.81496,0.009142,0.009142,0.009142
